Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,...,2.43%,4.66%,6.80%,7.37%,6.86%,6.18%,5.69%,5.35%,4.94%,4.40%,4.19%,4.13%,4.00%,3.62%,3.40%,2.93%,2.68%,2.75%,2.54%,2.27%,2.19%,2.13%,2.01%,1.83%,1.78%,1.86%,1.77%,1.81%,1.85%,1.71%,1.76%,1.71%,1.95%,2.08%,2.12%,2.10%,2.11%,2.06%,1.99%,1.93%,1.96%,1.90%,1.86%,1.82%,1.70%,1.55%,1.40%,1.25%,1.26%,1.24%,1.12%,1.14%,1.12%,1.12%,1.11%,1.11%,1.13%,1.19%,1.25%,1.38%,1.19%,1.19%,1.12%,1.00%,0.99%,1.15%,1.16%,1.35%,1.32%,1.29%,1.42%,1.32%
United States of America,5.27%,5.08%,10.17%,13.86%,13.58%,11.74%,10.16%,9.90%,9.99%,10.07%,9.44%,8.99%,9.16%,9.33%,8.83%,8.05%,7.59%,8.44%,9.42%,9.27%,8.63%,8.03%,6.94%,6.52%,5.89%,5.95%,5.62%,5.19%,5.16%,4.94%,4.95%,5.15%,5.65%,6.81%,6.32%,6.24%,6.45%,6.63%,6.42%,6.07%,5.87%,5.61%,4.88%,4.97%,4.60%,4.22%,3.86%,3.55%,3.41%,3.20%,3.09%,3.11%,3.12%,3.45%,3.83%,4.02%,4.09%,4.04%,4.08%,4.46%,4.89%,4.92%,4.84%,4.48%,4.05%,3.70%,3.48%,3.41%,3.31%,3.31%,3.43%,3.72%,3.48%
India,...,...,...,...,...,...,...,2.02%,2.48%,1.92%,2.14%,2.00%,2.07%,2.75%,4.03%,3.82%,3.87%,3.57%,3.22%,3.25%,3.14%,3.19%,3.65%,3.72%,3.16%,3.20%,3.53%,3.48%,3.16%,3.13%,3.26%,3.13%,3.19%,3.35%,3.32%,3.42%,3.57%,4.11%,4.23%,3.73%,3.53%,3.15%,2.91%,2.70%,2.82%,2.66%,2.58%,2.47%,2.65%,2.73%,2.96%,2.95%,2.92%,2.83%,2.68%,2.83%,2.75%,2.53%,2.48%,2.63%,3.13%,2.89%,2.70%,2.62%,2.55%,2.54%,2.46%,2.54%,2.53%,2.43%,2.52%,2.88%,2.66%
China,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.45%,2.45%,2.31%,2.45%,1.93%,1.69%,1.69%,1.65%,1.63%,1.66%,1.87%,1.83%,1.98%,2.05%,1.98%,1.93%,1.85%,1.85%,1.74%,1.71%,1.89%,1.74%,1.67%,1.69%,1.70%,1.73%,1.75%,1.77%,1.75%,1.74%,1.73%,1.80%,1.74%
Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.05%,5.85%,5.65%,5.44%,6.12%,5.65%,5.63%,5.86%,5.62%,5.17%,5.89%,5.79%,4.67%,3.20%,2.55%,2.05%,1.38%,1.28%,1.24%,1.25%,1.25%,1.31%,1.32%,1.34%,1.38%,1.35%,1.57%,1.82%,1.98%,1.52%,1.56%,1.53%,1.49%,1.41%,1.35%,1.16%,1.10%,1.11%,1.16%,1.30%,1.26%,1.42%
Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.40%,3.83%,3.04%,2.97%,2.61%,2.49%,2.37%,2.40%,2.43%,2.45%,2.65%,2.67%,2.88%,2.80%,2.71%,2.39%,2.25%,2.10%,2.23%,2.13%,1.74%,1.65%,1.32%,1.34%,1.46%,1.31%,1.25%,1.25%,1.23%,1.45%,3.15%,1.54%,1.59%
Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.61%,10.73%,11.15%,9.32%,8.29%,8.94%,6.60%,4.43%,3.03%,2.70%,2.73%,2.05%,1.76%,1.76%,1.69%,1.63%,1.85%,1.79%,1.68%,1.75%,1.67%,1.63%,1.82%,1.76%,1.60%,1.64%,1.55%,1.61%,1.77%,2.74%
Czechia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.33%,2.28%,1.84%,1.73%,1.66%,1.83%,1.86%,1.88%,1.75%,1.82%,1.89%,1.71%,1.79%,1.58%,1.43%,1.23%,1.31%,1.19%,1.08%,1.06%,1.02%,0.97%,0.95%,1.00%,0.96%,1.09%,1.15%,1.33%,1.43%
Estonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.76%,1.04%,0.96%,0.87%,1.05%,1.07%,1.29%,1.38%,1.50%,1.67%,1.74%,1.70%,1.45%,1.39%,1.66%,1.77%,1.79%,1.69%,1.66%,1.88%,1.90%,1.91%,2.01%,2.05%,2.01%,2.01%,2.02%,2.36%,2.16%
Hungary,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.03%,3.74%,3.27%,3.01%,3.21%,3.34%,3.01%,2.96%,3.24%,3.24%,3.34%,3.33%,3.24%,3.34%,3.15%,4.97%,3.22%,3.16%,3.60%,2.79%,2.56%,2.16%,2.18%,1.91%,1.82%,1.32%,1.26%,1.48%,1.27%,1.43%,1.51%,1.57%,1.59%,1.64%,1.47%,1.41%,1.22%,1.27%,1.18%,1.13%,1.02%,1.04%,1.03%,0.95%,0.86%,0.91%,1.00%,1.03%,1.12%,1.25%,1.86%,1.64%
